Compound,Neutral mass (Da),m/z,Charge,Retention time (min),Chromatographic peak width (min),Identifications,Max Fold Change,Highest Mean,Lowest Mean,Isotope Distribution,Maximum Abundance,Minimum CV%,LZJ-A1-,LZJ-B1-,LZJ-C1-,LZJ-D1-,LZJ-QC3-,LZJ-A1-,LZJ-B1-,LZJ-C1-,LZJ-D1-,LZJ-QC3-,Accepted Compound ID,Accepted Description,Adducts,Formula,Score,Fragmentation Score,Mass Error (ppm),Isotope Similarity,Retention Time Error (mins),Compound Link
5.56_314.0818n,314.0817525,359.1557845,1,5.559166667,0.5287,0,2.25643504,Condition 4,Condition 1,100 - 21,720.7879328,---,319.436598,415.2807327,457.7797739,720.7879328,529.1453177,273.3284121,387.9378572,479.2145579,780.1251481,529.1453177,,,"M-H, M+HCOO",,,,,,,
5.76_914.3301n,914.3301142,913.3228378,1,5.757316667,2.513066667,0,2.242058902,Condition 3,Condition 1,100 - 33.5 - 2.81,1558.628041,---,695.1771159,1188.173241,1558.628041,1371.210415,1339.097215,594.8337117,1109.941649,1631.608232,1484.092171,1339.097215,,,"M-H, M+HCOO",,,,,,,
5.90_900.2490n,900.2489654,899.2416889,1,5.900316667,0.34675,0,9.087195913,Condition 4,Condition 1,100 - 35.1 - 13,1257.742516,---,138.4082095,695.0192339,921.5482157,1257.742516,876.9618217,118.4300621,649.257842,964.6981931,1361.283287,876.9618217,,,"M-H, M+HCOO",,,,,,,
5.90_1008.3714n,1008.371442,1053.344832,1,5.900316667,2.2647,0,3.165048268,Condition 4,Condition 1,100 - 42.3 - 23.8 - 4.25,3110.978681,---,982.9166628,1952.288196,2826.937778,3110.978681,2543.511436,841.0402953,1823.745818,2959.304484,3367.082874,2543.511436,,,"M-H, M+HCOO",,,,,,,
6.31_404.1260n,404.1259856,403.1187091,1,6.309166667,1.06735,0,2.231989364,Condition 3,Condition 1,100 - 20.8,2877.59802,---,1289.252568,2871.922384,2877.59802,2630.985333,2268.566234,1103.158998,2682.829537,3012.336808,2847.575173,2268.566234,,,"M-H, M+HCOO",,,,,,,
6.16_1158.3163n,1158.316333,1157.309057,1,6.163333333,0.76835,0,2.395437098,Condition 2,Condition 1,100 - 40.9 - 3.82,911.9709711,---,380.7117173,911.9709711,647.4713049,729.9440099,776.6801403,325.758945,851.925063,677.7880824,790.0349783,776.6801403,,,"M-H, M+HCOO",,,,,,,
6.62_678.2621n,678.2621009,723.241165,1,6.616783333,1.740766667,0,3.823968201,Condition 4,Condition 1,100 - 32.8 - 39.5 - 5.22,2959.747257,---,773.9989197,2073.485963,2534.77961,2959.747257,2333.667177,662.2782018,1936.963692,2653.466491,3203.401669,2333.667177,,,"M-H, M+HCOO",,,,,,,
6.51_1054.3034n,1054.303378,1053.296102,1,6.513833333,0.458966667,0,1.604845912,Condition 2,Condition 3,100 - 41.7 - 53.2 - 22.4,1196.044984,---,826.6069141,1196.044984,745.2709167,767.1397365,907.7289128,707.2926419,1117.295101,780.167,830.2927579,907.7289128,,,"M-H, M+HCOO",,,,,,,
6.16_504.0937n,504.0936764,549.0876968,1,6.163333333,0.819433333,0,1.857012945,Condition 1,Condition 3,100 - 21.7 - 5.1 - 0.546,7735.720607,---,7735.720607,7477.249568,4165.679419,4711.31384,6246.842642,6619.129566,6984.933195,4360.730497,5099.161959,6246.842642,,,"M-H, M+HCOO",,,,,,,
5.90_718.2807n,718.2807068,763.2887837,1,5.900316667,2.617966667,0,3.727942151,Condition 2,Condition 1,100 - 33.3 - 11 - 0.849,6334.659112,---,1699.237503,6334.659112,3316.773159,4876.658557,4224.443981,1453.965799,5917.573074,3472.0756,5278.118301,4224.443981,,,"M-H, M+HCOO",,,,,,,
5.85_1052.3402n,1052.340249,1051.332972,1,5.850466667,1.906316667,0,2.811838288,Condition 4,Condition 1,100 - 32.7,1097.502107,---,390.314803,752.0299754,1089.216375,1097.502107,841.6178453,333.9759001,702.5148875,1140.217138,1187.851454,841.6178453,,,"M-H, M+HCOO",,,,,,,
5.51_576.2771n,576.2771284,575.2698519,1,5.509616667,2.44925,0,3.487161003,Condition 4,Condition 1,100 - 29.3 - 60.9 - 10,8698.810273,---,2494.524992,3062.442047,6631.263948,8698.810273,5465.581413,2134.459731,2860.805022,6941.761961,9414.919901,5465.581413,,,"M-H, M+HCOO",,,,,,,
4.44_784.3149n,784.3148535,829.3010483,1,4.438066667,1.626416667,0,4.911278532,Condition 4,Condition 1,100 - 35.6 - 45,2430.196228,---,494.8194676,1130.027804,2109.400465,2430.196228,1512.722842,423.39613,1055.624618,2208.169668,2630.256566,1512.722842,,,"M-H, M+HCOO",,,,,,,
1.29_234.1046n,234.1045621,279.1086755,1,1.285533333,0.9818,0,1.717565874,Condition 4,Condition 1,100 - 27.7 - 34 - 16.1,1052.095865,---,612.5505177,1008.588521,797.4770077,1052.095865,848.0211544,524.1336197,942.1811289,834.8175552,1138.707247,848.0211544,,,"M-H, M+HCOO",,,,,,,
2.05_526.1642n,526.164177,525.1569006,1,2.046516667,1.904383333,0,4.445681695,Condition 4,Condition 1,100 - 29 - 31.9,1467.46595,---,330.0879485,730.0489686,1337.486939,1467.46595,1103.07239,282.4423232,681.9811521,1400.112562,1588.271723,1103.07239,,,"M-H, M+HCOO",,,,,,,
2.43_550.2617n,550.2617027,595.259775,1,2.43035,1.248866667,0,3.626738474,Condition 4,Condition 1,100 - 23.7 - 6.87 - 0.413,6883.794586,---,1898.067544,2593.96349,6005.088527,6883.794586,3954.170527,1624.096272,2423.171986,6286.266907,7450.487206,3954.170527,,,"M-H, M+HCOO",,,,,,,
2.70_438.2093n,438.2092903,437.2020139,1,2.70095,2.016633333,0,3.167242983,Condition 4,Condition 1,100 - 18.3 - 16.3,5429.850446,---,1714.377607,3498.672003,4250.650211,5429.850446,3605.857433,1466.920547,3268.312766,4449.679906,5876.850445,3605.857433,,,"M-H, M+HCOO",,,,,,,
2.59_334.1145n,334.1145415,379.160976,1,2.587633333,1.52755,0,9.377465542,Condition 4,Condition 1,100 - 14.4 - 3.59 - 0.168,11235.87337,---,1198.178049,1798.029933,9280.803667,11235.87337,6525.691395,1025.230376,1679.644213,9715.362014,12160.8409,6525.691395,,,"M-H, M+HCOO",,,,,,,
3.36_684.1929n,684.1928898,683.1856134,1,3.355116667,1.57965,0,2.729935967,Condition 2,Condition 3,100 - 28.9 - 20.2 - 2.34,5722.714416,---,5352.480613,5722.714416,2096.281556,2583.676015,3215.692385,4579.89171,5345.919984,2194.436487,2796.371224,3215.692385,,,"M-H, M+HCOO",,,,,,,
3.19_698.2176n,698.217632,697.2103556,1,3.1894,2.446216667,0,1.659701716,Condition 3,Condition 2,100 - 29.8 - 11.9 - 3.28 - 1.18,2845.083706,---,2011.531476,1714.213873,2845.083706,2215.719333,2183.184966,1721.182569,1601.346762,2978.300065,2398.123352,2183.184966,,,"M-H, M+HCOO",,,,,,,
4.71_992.3667n,992.3666898,991.3594134,1,4.709683333,1.829666667,0,2.835984561,Condition 3,Condition 1,100 - 39.5 - 22 - 5.44,1965.615515,---,693.0981017,1279.576265,1965.615515,1738.283333,1350.146848,593.054787,1195.326524,2057.652225,1881.383527,1350.146848,,,"M-H, M+HCOO",,,,,,,
4.87_229.0761n,229.0761411,228.0688647,1,4.873116667,0.48225,0,3.143741613,Condition 2,Condition 3,100 - 52.6 - 2.35,212.7736227,---,83.59418309,212.7736227,67.68165099,103.0731758,150.0202734,71.52801361,198.7642016,70.85073283,111.5584389,150.0202734,,,"M-H, M+HCOO",,,,,,,
5.14_864.3532n,864.3531755,909.3306028,1,5.1392,0.84095,0,5.555349386,Condition 4,Condition 1,100 - 29.9 - 30.9,1143.692176,---,205.8722318,838.0368206,1011.796059,1143.692176,845.5545805,176.156178,782.858878,1059.171743,1237.844015,845.5545805,,,"M-H, M+HCOO",,,,,,,
5.29_464.2165n,464.2165325,509.220992,1,5.29005,1.057116667,0,1.310202512,Condition 4,Condition 1,100 - 24.3 - 28.5 - 22.5,1758.958039,---,1342.508524,1533.03981,1519.088305,1758.958039,1483.523359,1148.727871,1432.101545,1590.217113,1903.76023,1483.523359,,,"M-H, M+HCOO",,,,,,,
6.31_482.2110n,482.2109705,527.1889815,1,6.309166667,0.55525,0,11.38933449,Condition 4,Condition 1,100 - 47.1,476.948173,---,41.87673771,190.5717577,450.6136199,476.948173,301.6602666,35.83215667,178.0241497,471.7128605,516.2118388,301.6602666,,,"M-H, M+HCOO",,,,,,,
6.31_1098.2973n,1098.297301,1143.288408,1,6.309166667,1.0395,0,1.185072649,Condition 3,Condition 2,100 - 39.2 - 12.9,1433.660818,---,1221.218034,1209.766185,1433.660818,1232.37481,1319.899111,1044.944719,1130.112872,1500.789624,1333.827243,1319.899111,,,"M-H, M+HCOO",,,,,,,
6.62_906.2794n,906.2793798,905.2721034,1,6.616783333,0.565166667,0,6.231766418,Condition 4,Condition 1,100 - 38 - 24.5 - 3.93 - 5.41,2836.605126,---,455.1847639,1079.19872,2541.893052,2836.605126,1561.742451,389.4823872,1008.142218,2660.913008,3070.122145,1561.742451,,,"M-H, M+HCOO",,,,,,,
6.72_834.3454n,834.3454414,833.3381649,1,6.721533333,0.207883333,0,3.901221052,Condition 4,Condition 1,100 - 36.2 - 21.5 - 6.17,2191.121555,---,561.6501925,1488.778001,1943.122745,2191.121555,1787.741096,480.5803601,1390.754018,2034.106267,2371.500617,1787.741096,,,"M-H, M+HCOO",,,,,,,
6.77_968.2903n,968.2902526,967.2829761,1,6.774866667,1.196233333,0,1.509774878,Condition 4,Condition 1,100 - 38.5 - 18.2 - 5.29,1819.221637,---,1204.962185,1545.421826,1399.632746,1819.221637,1602.44697,1031.035276,1443.668305,1465.168244,1968.984891,1602.44697,,,"M-H, M+HCOO",,,,,,,
6.67_432.1088n,432.1087794,477.1021578,1,6.668666667,0.57525,0,1.253792746,Condition 1,Condition 4,100 - 20.6 - 4.27 - 0.617,16933.24987,---,16933.24987,14313.69996,16041.49115,13505.62118,15067.75467,14489.06709,13371.25866,16792.60755,14617.44051,15067.75467,,,"M-H, M+HCOO",,,,,,,
6.94_288.0678n,288.0677559,333.0993657,1,6.939816667,0.31785,0,1.457520829,Condition 1,Condition 3,100 - 11.5,174.9549931,---,174.9549931,120.4107131,120.0360157,161.0202036,167.8169928,149.701602,112.4826421,125.6565044,174.275823,167.8169928,,,"M-H, M+HCOO",,,,,,,
6.99_550.2972n,550.2972105,595.2875928,1,6.9928,0.218166667,0,2.496134352,Condition 2,Condition 1,100 - 32.5 - 18.6 - 2.94,989.0082265,---,396.2159431,989.0082265,619.0924572,856.4315235,622.0122621,339.0252566,923.8900386,648.0804419,926.9352867,622.0122621,,,"M-H, M+HCOO",,,,,,,
7.04_800.2244n,800.2244176,799.2171411,1,7.042833333,0.6311,0,1.535092999,Condition 4,Condition 1,100 - 27.1,653.0029289,---,425.383302,613.0591713,636.3273252,653.0029289,581.2715375,363.9825343,572.6941862,666.1223042,706.7598991,581.2715375,,,"M-H, M+HCOO",,,,,,,
7.20_616.2330n,616.2330117,615.2257353,1,7.204183333,1.7237,0,6.261862546,Condition 4,Condition 1,100 - 28.8,2066.721717,---,330.0490393,778.3090451,1986.966473,2066.721717,1340.294305,282.4090302,727.0636931,2080.002906,2236.859848,1340.294305,,,"M-H, M+HCOO",,,,,,,
7.26_724.2272n,724.227159,723.2198826,1,7.257183333,0.413133333,0,2.784476908,Condition 3,Condition 1,100 - 30 - 12.5,798.3670853,---,286.7206702,479.8705755,798.3670853,626.3145862,675.771595,245.3347738,448.2749816,835.7493092,677.8744997,675.771595,,,"M-H, M+HCOO",,,,,,,
7.20_876.2105n,876.2104574,875.203181,1,7.204183333,0.519316667,0,1.851665824,Condition 2,Condition 1,100 - 33.5 - 12.8,962.8025593,---,519.9656152,962.8025593,705.8394673,596.7450869,673.9894657,444.912627,899.4098025,738.8892379,645.8707591,673.9894657,,,"M-H, M+HCOO",,,,,,,
7.41_624.1672n,624.1671619,669.1669056,1,7.405933333,0.201633333,0,60.38844017,Condition 1,Condition 3,100 - 25.8 - 6.71 - 0.968,3127.786799,---,3127.786799,54.78376862,51.79446249,70.22428389,328.7038451,2676.315127,51.17670081,54.21965289,76.00533719,328.7038451,,,"M-H, M+HCOO",,,,,,,
7.55_416.2330n,416.2330296,415.2257532,1,7.5521,0.775666667,0,3.276615882,Condition 4,Condition 1,100 - 21.8,1008.840411,---,307.8909605,409.1061373,887.987217,1008.840411,826.894859,263.4492976,382.1698089,929.5657559,1091.890887,826.894859,,,"M-H, M+HCOO",,,,,,,
7.55_932.2372n,932.2371634,977.32696,1,7.5521,0.42225,0,1.896958282,Condition 3,Condition 2,100 - 29.6 - 24.1,448.2343856,---,418.7115714,236.291114,448.2343856,344.193082,309.8609629,358.273816,220.7332563,469.2222224,372.527989,309.8609629,,,"M-H, M+HCOO",,,,,,,
7.66_502.1478n,502.1477606,501.1404841,1,7.660216667,0.46875,0,11.01799612,Condition 1,Condition 3,100 - 23.2 - 31.2 - 7.22,7593.088759,---,7593.088759,2152.465531,689.1533341,864.275541,1730.314897,6497.085515,2010.743095,721.421804,935.425045,1730.314897,,,"M-H, M+HCOO",,,,,,,
7.77_668.3955n,668.3955218,667.3882453,1,7.7663,0.413616667,0,10.63683064,Condition 4,Condition 1,100 - 28.5 - 13.6 - 2.23,1873.759572,---,176.1576954,754.0723841,1790.003768,1873.759572,1208.843549,150.7307036,704.4228202,1873.817746,2028.012537,1208.843549,,,"M-H, M+HCOO",,,,,,,
7.61_914.4022n,914.402208,913.3949315,1,7.6073,0.472083333,0,2.363346329,Condition 4,Condition 1,100 - 32.5,417.9057641,---,176.8279829,244.4571228,344.7633634,417.9057641,287.1137603,151.3042403,228.3615996,360.9063401,452.3088988,287.1137603,,,"M-H, M+HCOO",,,,,,,
7.93_760.3212n,760.3211993,759.3139228,1,7.927783333,0.717033333,0,6.501772925,Condition 4,Condition 1,100 - 31.8,1315.262129,---,202.2928428,896.8423667,1275.655818,1315.262129,937.1378203,173.093446,837.7925547,1335.386301,1423.53807,937.1378203,,,"M-H, M+HCOO",,,,,,,
8.02_816.4828n,816.4828264,861.4821536,1,8.020916667,0.195183333,0,Infinity,Condition 3,Condition 2,100 - 41.6 - 7.69,4130.520607,---,59.10362784,0,4130.520607,0.354966412,868.7398885,50.57247933,0,4323.925432,0.384188209,868.7398885,,,"M-H, M+HCOO",,,,,,,
7.41_418.2545n,418.254478,463.2534573,1,7.405933333,0.509116667,0,1.96543499,Condition 4,Condition 1,100 - 19.1 - 22.3 - 5.99 - 0.729,2007.288238,---,1021.294649,1572.407316,1388.842809,2007.288238,1458.278307,873.8787178,1468.877019,1453.873086,2172.533644,1458.278307,,,"M-H, M+HCOO",,,,,,,
13.06_634.4039n,634.4038802,679.4028588,1,13.05581667,0.773366667,0,1.197946571,Condition 3,QC,100 - 33 - 30.9,3295.441478,---,3066.075085,2768.909595,3295.441478,3274.001456,2750.908562,2623.511018,2586.599306,3449.745098,3543.526125,2750.908562,,,"M-H, M+HCOO",,,,,,,
13.16_350.2068n,350.2068127,349.1995362,1,13.1552,0.349683333,0,1.144996248,Condition 1,Condition 2,100 - 16.3 - 21.9,260.3271907,---,260.3271907,227.3607369,255.1035113,245.1824522,259.4160474,222.7509876,212.3908724,267.0483131,265.3665359,259.4160474,,,"M-H, M+HCOO",,,,,,,
13.31_542.2723n,542.2723143,587.2750975,1,13.30618333,0.408733333,0,1.954620748,Condition 3,Condition 2,100 - 17.7,224.9004857,---,123.0698725,115.0609324,224.9004857,192.4148118,162.2126376,105.3056946,107.4851011,235.4310806,208.2549203,162.2126376,,,"M-H, M+HCOO",,,,,,,
13.57_1084.5406n,1084.540577,1083.533301,1,13.56963333,0.436666667,0,2.351541525,Condition 4,Condition 1,100 - 53.9 - 50.9 - 12.1,1029.233551,---,437.6846166,522.3662987,758.7108262,1029.233551,539.2757157,374.5082499,487.9727053,794.2362111,1113.962845,539.2757157,,,"M-H, M+HCOO",,,,,,,
8.22_1050.5570n,1050.557025,1049.549748,1,8.216216667,0.2111,0,4.044853794,Condition 2,Condition 4,100 - 49.4,236.8266072,---,175.38634,236.8266072,138.9263338,58.55010324,110.2401427,150.0706873,221.2334917,145.4313305,63.37010636,110.2401427,,,"M-H, M+HCOO",,,,,,,
7.04_670.4266n,670.4266259,715.4260284,1,7.042833333,0.2061,0,5.360914905,Condition 1,Condition 3,100 - 31.3 - 2.04,353.0975299,---,353.0975299,343.6427912,65.86516222,250.7365602,186.4059321,302.1306506,321.0166944,68.94918996,271.3778731,186.4059321,,,"M-H, M+HCOO",,,,,,,
8.33_860.2973n,860.2973161,859.2900396,1,8.330966667,0.531133333,0,1.570674857,Condition 2,Condition 1,100 - 31.5 - 64.1 - 18.7 - 37.2,1056.002972,---,672.3243626,1056.002972,1014.281147,1028.353569,1016.916482,575.2795754,986.4737223,1061.773192,1113.010421,1016.916482,,,"M-H, M+HCOO",,,,,,,
8.38_1126.2493n,1126.249315,1125.242038,1,8.383916667,0.481366667,0,3.165221504,Condition 1,Condition 3,100 - 40.2 - 18.6,587.639784,---,587.639784,526.7042631,185.655185,295.2175107,340.8266367,502.8185564,492.0250499,194.3481833,319.520616,340.8266367,,,"M-H, M+HCOO",,,,,,,
14.68_694.4233n,694.4233477,693.4160713,1,14.68023333,0.954216667,0,2.360558406,Condition 2,Condition 3,100 - 33.7 - 3.64 - 0.405,78447.95128,---,70231.93289,78447.95128,33232.79402,57834.44402,57040.57527,60094.50019,73282.78855,34788.86487,62595.53213,57040.57527,,,"M-H, M+HCOO",,,,,,,
14.89_1050.4950n,1050.494953,1049.487677,1,14.89308333,0.432366667,0,4.059601372,Condition 4,Condition 2,100 - 47.9,447.8086252,---,131.6776272,110.3085215,320.1452213,447.8086252,256.168775,112.670987,103.0455981,335.135494,484.6734444,256.168775,,,"M-H, M+HCOO",,,,,,,
14.95_1074.6079n,1074.607871,1119.679132,1,14.95433333,0.324966667,0,12.45034698,Condition 2,Condition 4,100 - 57 - 20.7,823.6091611,---,773.430309,823.6091611,156.6643521,66.15150264,369.8499136,661.7916656,769.3811632,163.9999023,71.59727355,369.8499136,,,"M-H, M+HCOO",,,,,,,
15.28_714.3967n,714.3967384,713.389462,1,15.27948333,1.249233333,0,2.331067004,Condition 3,Condition 2,100 - 37.7 - 23.8 - 5.02,3059.014363,---,2154.391682,1312.280753,3059.014363,2108.721635,1990.552489,1843.422016,1225.877685,3202.247673,2282.317313,1990.552489,,,"M-H, M+HCOO",,,,,,,
15.55_636.3868n,636.3867914,681.4199618,1,15.5484,0.485116667,0,2.08767422,Condition 3,Condition 1,100 - 27.5 - 12.4 - 1.29,1438.361402,---,688.9779009,694.7710622,1438.361402,874.5817019,812.2382266,589.5293052,649.0260104,1505.710306,946.579637,812.2382266,,,"M-H, M+HCOO",,,,,,,
15.82_1028.5089n,1028.508915,1027.501638,1,15.81725,0.751083333,0,3.571426957,Condition 3,Condition 1,100 - 46.9 - 37.3 - 4.65,730.3349505,---,204.4938786,427.2531467,730.3349505,655.8582916,405.9813664,174.9767794,399.1219847,764.5316818,709.850323,405.9813664,,,"M-H, M+HCOO",,,,,,,
16.03_616.3966n,616.3965757,661.3918001,1,16.03055,0.756733333,0,10.86511475,Condition 2,Condition 4,100 - 35 - 14.2 - 3.1,8535.394668,---,7416.175396,8535.394668,1260.674934,785.5779589,3887.375108,6345.708218,7973.408004,1319.703962,850.2488648,3887.375108,,,"M-H, M+HCOO",,,,,,,
16.30_502.3257n,502.3257427,547.326049,1,16.29983333,0.37665,0,94.78585569,Condition 3,Condition 2,100 - 22.8,364.8401772,---,9.276631619,3.849099368,364.8401772,21.78756362,91.97427549,7.93762207,3.595667325,381.9232177,23.58117489,91.97427549,,,"M-H, M+HCOO",,,,,,,
16.51_1044.5493n,1044.549285,1043.542008,1,16.51255,0.581116667,0,8.204488105,Condition 4,Condition 1,100 - 51 - 19.9 - 5.49 - 2.18,8017.305573,---,977.185349,1010.779039,3969.017592,8017.305573,3928.4481,836.136252,944.2274195,4154.860304,8677.311887,3928.4481,,,"M-H, M+HCOO",,,,,,,
16.72_942.5149n,942.5148779,941.5076015,1,16.72256667,0.902466667,0,6.013904953,Condition 4,Condition 1,100 - 47.3 - 13.3 - 2.44 - 0.756 - 0.0529,46027.52513,---,7653.517223,22861.97678,39108.4374,46027.52513,24830.65497,6548.7916,21356.70062,40939.62557,49816.6357,24830.65497,,,"M-H, M+HCOO",,,,,,,
17.21_532.3600n,532.359977,531.3527006,1,17.21426667,1.0422,0,14.54866388,Condition 4,Condition 1,100 - 24.6 - 5.11 - 0.33,2349.412784,---,161.4864983,857.738598,1380.62257,2349.412784,1154.838534,138.1771795,801.2634528,1445.267948,2542.82281,1154.838534,,,"M-H, M+HCOO",,,,,,,
17.55_1012.5336n,1012.533634,1011.526358,1,17.5466,0.822683333,0,2.721289303,Condition 4,QC,100 - 48.7 - 39.9 - 2.12,2287.216366,---,1146.21177,1064.333418,1064.141208,2287.216366,840.4899707,980.7650254,994.2556754,1113.967867,2475.506214,840.4899707,,,"M-H, M+HCOO",,,,,,,
17.43_716.4061n,716.4061102,715.3988338,1,17.43298333,1.410666667,0,2.648661059,Condition 3,Condition 2,100 - 36.9,3120.706987,---,2909.30594,1178.220587,3120.706987,2041.331939,2150.481914,2489.370279,1100.644296,3266.828952,2209.379915,2150.481914,,,"M-H, M+HCOO",,,,,,,
18.14_708.4303n,708.4302843,753.4387148,1,18.14211667,0.86635,0,29.25060919,Condition 2,Condition 4,100 - 37.4 - 5.52 - 4,25276.99181,---,10501.41623,25276.99181,1456.975895,864.1526625,8423.495758,8985.618558,23612.70646,1525.196392,935.2920508,8423.495758,,,"M-H, M+HCOO",,,,,,,
18.19_528.2920n,528.2919636,573.3283218,1,18.19468333,0.6477,0,1.300439734,Condition 1,Condition 2,100 - 21.2,327.15017,---,327.15017,251.5688821,254.0801826,303.5998088,253.1095824,279.9285901,235.0051071,265.9770687,328.5929675,253.1095824,,,"M-H, M+HCOO",,,,,,,
18.78_940.4998n,940.4998395,939.4925631,1,18.78465,0.633233333,0,18.72425313,Condition 3,Condition 1,100 - 45.4 - 15.1 - 2.83 - 0.677,8830.294774,---,471.5966352,1185.207015,8830.294774,7015.55304,2139.892451,403.5253327,1107.170725,9243.758784,7593.092373,2139.892451,,,"M-H, M+HCOO",,,,,,,
19.00_1356.8632n,1356.86322,1401.851727,1,19.0032,0.313966667,0,525.4773414,Condition 1,Condition 4,100 - 78.9 - 28.7 - 7.06 - 1.52,4320.073958,---,4320.073958,3146.582332,20.16009905,8.221237373,2849.577127,3696.504917,2939.40535,21.10406249,8.898031906,2849.577127,,,"M-H, M+HCOO",,,,,,,
19.43_586.3498n,586.3498307,585.3425542,1,19.43166667,0.271133333,0,43.0710461,Condition 3,Condition 2,100 - 31.6 - 5.42,585.7835334,---,55.29823968,13.60040181,585.7835334,161.2962898,151.8897761,47.31636932,12.70492542,613.2118826,174.5746373,151.8897761,,,"M-H, M+HCOO",,,,,,,
19.76_778.4440n,778.4440316,777.4367551,1,19.75511667,3.411633333,0,2.265488078,Condition 2,Condition 4,100 - 39.9 - 22.6 - 6.31 - 0.15 - 0.0169,176785.917,---,162017.7021,176785.917,136160.0998,78034.36209,163065.6575,138631.7083,165145.995,142535.5722,84458.36218,163065.6575,,,"M-H, M+HCOO",,,,,,,
